id,team,opponent
527,Miami Heat,Sacramento Kings
528,Sacramento Kings,Miami Heat
529,Houston Rockets,Phoenix Suns
530,Phoenix Suns,Houston Rockets
531,Memphis Grizzlies,Philadelphia 76ers
532,Philadelphia 76ers,Memphis Grizzlies
533,San Antonio Spurs,Portland Trail Blazers
534,Portland Trail Blazers,San Antonio Spurs
535,Orlando Magic,New York Knicks
536,New York Knicks,Orlando Magic
537,New Orleans Pelicans,Chicago Bulls
538,Chicago Bulls,New Orleans Pelicans
539,Cleveland Cavaliers,Oklahoma City Thunder
540,Oklahoma City Thunder,Cleveland Cavaliers
541,Miami Heat,Los Angeles Clippers
542,Los Angeles Clippers,Miami Heat
543,Atlanta Hawks,Minnesota Timberwolves
544,Minnesota Timberwolves,Atlanta Hawks
545,Milwaukee Bucks,New Orleans Pelicans
546,New Orleans Pelicans,Milwaukee Bucks
547,San Antonio Spurs,Los Angeles Clippers
548,Los Angeles Clippers,San Antonio Spurs
549,Detroit Pistons,Memphis Grizzlies
550,Memphis Grizzlies,Detroit Pistons
551,Phoenix Suns,Brooklyn Nets
552,Brooklyn Nets,Phoenix Suns
553,Minnesota Timberwolves,Sacramento Kings
554,Sacramento Kings,Minnesota Timberwolves
555,Orlando Magic,Charlotte Hornets
556,Charlotte Hornets,Orlando Magic
557,Philadelphia 76ers,Miami Heat
558,Miami Heat,Philadelphia 76ers
559,Chicago Bulls,Toronto Raptors
560,Toronto Raptors,Chicago Bulls
561,New Orleans Pelicans,Houston Rockets
562,Houston Rockets,New Orleans Pelicans
563,Golden State Warriors,Cleveland Cavaliers
564,Cleveland Cavaliers,Golden State Warriors
565,Toronto Raptors,Detroit Pistons
566,Detroit Pistons,Toronto Raptors
567,Golden State Warriors,Boston Celtics
568,Boston Celtics,Golden State Warriors
569,Charlotte Hornets,Washington Wizards
570,Washington Wizards,Charlotte Hornets
571,Toronto Raptors,Cleveland Cavaliers
572,Cleveland Cavaliers,Toronto Raptors
573,Memphis Grizzlies,New York Knicks
574,New York Knicks,Memphis Grizzlies
575,Detroit Pistons,Brooklyn Nets
576,Brooklyn Nets,Detroit Pistons
577,Denver Nuggets,Memphis Grizzlies
578,Memphis Grizzlies,Denver Nuggets
579,Atlanta Hawks,Toronto Raptors
580,Toronto Raptors,Atlanta Hawks
581,Dallas Mavericks,Oklahoma City Thunder
582,Oklahoma City Thunder,Dallas Mavericks
583,San Antonio Spurs,Chicago Bulls
584,Chicago Bulls,San Antonio Spurs
585,Phoenix Suns,Memphis Grizzlies
586,Memphis Grizzlies,Phoenix Suns
587,Boston Celtics,New Orleans Pelicans
588,New Orleans Pelicans,Boston Celtics
589,Los Angeles Clippers,Orlando Magic
590,Orlando Magic,Los Angeles Clippers
591,Brooklyn Nets,New York Knicks
592,New York Knicks,Brooklyn Nets
593,Oklahoma City Thunder,Minnesota Timberwolves
594,Minnesota Timberwolves,Oklahoma City Thunder
595,Indiana Pacers,Golden State Warriors
596,Golden State Warriors,Indiana Pacers
597,Sacramento Kings,Chicago Bulls
598,Chicago Bulls,Sacramento Kings
599,Atlanta Hawks,Oklahoma City Thunder
600,Oklahoma City Thunder,Atlanta Hawks
601,Phoenix Suns,San Antonio Spurs
602,San Antonio Spurs,Phoenix Suns
603,Denver Nuggets,New Orleans Pelicans
604,New Orleans Pelicans,Denver Nuggets
605,Los Angeles Clippers,Atlanta Hawks
606,Atlanta Hawks,Los Angeles Clippers
607,Utah Jazz,Golden State Warriors
608,Golden State Warriors,Utah Jazz
609,Los Angeles Lakers,New York Knicks
610,New York Knicks,Los Angeles Lakers
611,Golden State Warriors,Portland Trail Blazers
612,Portland Trail Blazers,Golden State Warriors
613,Indiana Pacers,Utah Jazz
614,Utah Jazz,Indiana Pacers
615,Chicago Bulls,Milwaukee Bucks
616,Milwaukee Bucks,Chicago Bulls
617,Detroit Pistons,Washington Wizards
618,Washington Wizards,Detroit Pistons
619,Miami Heat,San Antonio Spurs
620,San Antonio Spurs,Miami Heat
621,Indiana Pacers,Denver Nuggets
622,Denver Nuggets,Indiana Pacers
623,Orlando Magic,Golden State Warriors
624,Golden State Warriors,Orlando Magic
625,Phoenix Suns,Boston Celtics
626,Boston Celtics,Phoenix Suns
627,Sacramento Kings,Utah Jazz
628,Utah Jazz,Sacramento Kings
629,Portland Trail Blazers,Oklahoma City Thunder
630,Oklahoma City Thunder,Portland Trail Blazers
631,Cleveland Cavaliers,Memphis Grizzlies
632,Memphis Grizzlies,Cleveland Cavaliers
633,Atlanta Hawks,San Antonio Spurs
634,San Antonio Spurs,Atlanta Hawks
635,Minnesota Timberwolves,Indiana Pacers
636,Indiana Pacers,Minnesota Timberwolves
637,Washington Wizards,Toronto Raptors
638,Toronto Raptors,Washington Wizards
639,Phoenix Suns,New York Knicks
640,New York Knicks,Phoenix Suns
641,Detroit Pistons,Boston Celtics
642,Boston Celtics,Detroit Pistons
643,Toronto Raptors,Oklahoma City Thunder
644,Oklahoma City Thunder,Toronto Raptors
645,Orlando Magic,Los Angeles Lakers
646,Los Angeles Lakers,Orlando Magic
647,Utah Jazz,Brooklyn Nets
648,Brooklyn Nets,Utah Jazz
649,Phoenix Suns,Atlanta Hawks
650,Atlanta Hawks,Phoenix Suns
651,Dallas Mavericks,Golden State Warriors
652,Golden State Warriors,Dallas Mavericks
653,Chicago Bulls,Boston Celtics
654,Boston Celtics,Chicago Bulls
655,Charlotte Hornets,Portland Trail Blazers
656,Portland Trail Blazers,Charlotte Hornets
657,Cleveland Cavaliers,Los Angeles Lakers
658,Los Angeles Lakers,Cleveland Cavaliers
659,New Orleans Pelicans,Detroit Pistons
660,Detroit Pistons,New Orleans Pelicans
661,Charlotte Hornets,Phoenix Suns
662,Phoenix Suns,Charlotte Hornets
663,Golden State Warriors,Memphis Grizzlies
664,Memphis Grizzlies,Golden State Warriors
665,Miami Heat,New York Knicks
666,New York Knicks,Miami Heat
667,Philadelphia 76ers,Dallas Mavericks
668,Dallas Mavericks,Philadelphia 76ers
669,Chicago Bulls,Detroit Pistons
670,Detroit Pistons,Chicago Bulls
671,Milwaukee Bucks,Portland Trail Blazers
672,Portland Trail Blazers,Milwaukee Bucks
673,Charlotte Hornets,Utah Jazz
674,Utah Jazz,Charlotte Hornets
675,New Orleans Pelicans,New York Knicks
676,New York Knicks,New Orleans Pelicans
677,Orlando Magic,Phoenix Suns
678,Phoenix Suns,Orlando Magic
679,Portland Trail Blazers,Minnesota Timberwolves
680,Minnesota Timberwolves,Portland Trail Blazers
681,San Antonio Spurs,Boston Celtics
682,Boston Celtics,San Antonio Spurs
683,Houston Rockets,Atlanta Hawks
684,Atlanta Hawks,Houston Rockets
685,Minnesota Timberwolves,Memphis Grizzlies
686,Memphis Grizzlies,Minnesota Timberwolves
687,Oklahoma City Thunder,Brooklyn Nets
688,Brooklyn Nets,Oklahoma City Thunder
689,Portland Trail Blazers,Toronto Raptors
690,Toronto Raptors,Portland Trail Blazers
691,Oklahoma City Thunder,Philadelphia 76ers
692,Philadelphia 76ers,Oklahoma City Thunder
693,Denver Nuggets,Atlanta Hawks
694,Atlanta Hawks,Denver Nuggets
695,Milwaukee Bucks,San Antonio Spurs
696,San Antonio Spurs,Milwaukee Bucks
697,New York Knicks,Los Angeles Clippers
698,Los Angeles Clippers,New York Knicks
699,Minnesota Timberwolves,Cleveland Cavaliers
700,Cleveland Cavaliers,Minnesota Timberwolves
701,Detroit Pistons,Los Angeles Lakers
702,Los Angeles Lakers,Detroit Pistons
703,Utah Jazz,Orlando Magic
704,Orlando Magic,Utah Jazz
705,Denver Nuggets,Washington Wizards
706,Washington Wizards,Denver Nuggets
707,Indiana Pacers,Atlanta Hawks
708,Atlanta Hawks,Indiana Pacers
709,Brooklyn Nets,Dallas Mavericks
710,Dallas Mavericks,Brooklyn Nets
711,Utah Jazz,Chicago Bulls
712,Chicago Bulls,Utah Jazz
713,Golden State Warriors,Minnesota Timberwolves
714,Minnesota Timberwolves,Golden State Warriors
715,Detroit Pistons,Los Angeles Clippers
716,Los Angeles Clippers,Detroit Pistons
717,Minnesota Timberwolves,Milwaukee Bucks
718,Milwaukee Bucks,Minnesota Timberwolves
719,Portland Trail Blazers,New York Knicks
720,New York Knicks,Portland Trail Blazers
721,Golden State Warriors,San Antonio Spurs
722,San Antonio Spurs,Golden State Warriors
723,Boston Celtics,Charlotte Hornets
724,Charlotte Hornets,Boston Celtics
725,Brooklyn Nets,Minnesota Timberwolves
726,Minnesota Timberwolves,Brooklyn Nets
727,Charlotte Hornets,Memphis Grizzlies
728,Memphis Grizzlies,Charlotte Hornets
729,Utah Jazz,Los Angeles Clippers
730,Los Angeles Clippers,Utah Jazz
731,Detroit Pistons,San Antonio Spurs
732,San Antonio Spurs,Detroit Pistons
733,Brooklyn Nets,Houston Rockets
734,Houston Rockets,Brooklyn Nets
735,Milwaukee Bucks,Atlanta Hawks
736,Atlanta Hawks,Milwaukee Bucks
737,Chicago Bulls,Orlando Magic
738,Orlando Magic,Chicago Bulls
739,Dallas Mavericks,Toronto Raptors
740,Toronto Raptors,Dallas Mavericks
741,Sacramento Kings,Indiana Pacers
742,Indiana Pacers,Sacramento Kings
743,Utah Jazz,Atlanta Hawks
744,Atlanta Hawks,Utah Jazz
745,Boston Celtics,Dallas Mavericks
746,Dallas Mavericks,Boston Celtics
747,Orlando Magic,Denver Nuggets
748,Denver Nuggets,Orlando Magic
749,Brooklyn Nets,New Orleans Pelicans
750,New Orleans Pelicans,Brooklyn Nets
751,Sacramento Kings,Charlotte Hornets
752,Charlotte Hornets,Sacramento Kings
753,Miami Heat,Memphis Grizzlies
754,Memphis Grizzlies,Miami Heat
755,New York Knicks,Denver Nuggets
756,Denver Nuggets,New York Knicks
757,Los Angeles Lakers,Atlanta Hawks
758,Atlanta Hawks,Los Angeles Lakers
759,Detroit Pistons,Houston Rockets
760,Houston Rockets,Detroit Pistons
761,Los Angeles Clippers,Chicago Bulls
762,Chicago Bulls,Los Angeles Clippers
763,Cleveland Cavaliers,Milwaukee Bucks
764,Milwaukee Bucks,Cleveland Cavaliers
765,New York Knicks,Sacramento Kings
766,Sacramento Kings,New York Knicks
767,New Orleans Pelicans,Philadelphia 76ers
768,Philadelphia 76ers,New Orleans Pelicans
769,Dallas Mavericks,Detroit Pistons
770,Detroit Pistons,Dallas Mavericks
771,New York Knicks,Golden State Warriors
772,Golden State Warriors,New York Knicks
773,Houston Rockets,Cleveland Cavaliers
774,Cleveland Cavaliers,Houston Rockets
775,Los Angeles Clippers,Toronto Raptors
776,Toronto Raptors,Los Angeles Clippers
777,Denver Nuggets,Philadelphia 76ers
778,Philadelphia 76ers,Denver Nuggets
779,Minnesota Timberwolves,Phoenix Suns
780,Phoenix Suns,Minnesota Timberwolves
781,Los Angeles Clippers,Indiana Pacers
782,Indiana Pacers,Los Angeles Clippers
783,Los Angeles Clippers,Washington Wizards
784,Washington Wizards,Los Angeles Clippers
785,Denver Nuggets,Brooklyn Nets
786,Brooklyn Nets,Denver Nuggets
787,Chicago Bulls,Miami Heat
788,Miami Heat,Chicago Bulls
789,Los Angeles Clippers,Milwaukee Bucks
790,Milwaukee Bucks,Los Angeles Clippers
791,Indiana Pacers,Detroit Pistons
792,Detroit Pistons,Indiana Pacers
793,Denver Nuggets,Boston Celtics
794,Boston Celtics,Denver Nuggets
795,Orlando Magic,Cleveland Cavaliers
796,Cleveland Cavaliers,Orlando Magic
797,Houston Rockets,Toronto Raptors
798,Toronto Raptors,Houston Rockets
799,Memphis Grizzlies,Chicago Bulls
800,Chicago Bulls,Memphis Grizzlies
801,Indiana Pacers,Oklahoma City Thunder
802,Oklahoma City Thunder,Indiana Pacers
803,Golden State Warriors,Charlotte Hornets
804,Charlotte Hornets,Golden State Warriors
805,Utah Jazz,Philadelphia 76ers
806,Philadelphia 76ers,Utah Jazz
807,Golden State Warriors,Atlanta Hawks
808,Atlanta Hawks,Golden State Warriors
809,Indiana Pacers,Memphis Grizzlies
810,Memphis Grizzlies,Indiana Pacers
811,Boston Celtics,New York Knicks
812,New York Knicks,Boston Celtics
813,Washington Wizards,Los Angeles Lakers
814,Los Angeles Lakers,Washington Wizards
815,Chicago Bulls,Portland Trail Blazers
816,Portland Trail Blazers,Chicago Bulls
817,Minnesota Timberwolves,San Antonio Spurs
818,San Antonio Spurs,Minnesota Timberwolves
819,Miami Heat,Houston Rockets
820,Houston Rockets,Miami Heat
821,Brooklyn Nets,Cleveland Cavaliers
822,Cleveland Cavaliers,Brooklyn Nets
823,Utah Jazz,Milwaukee Bucks
824,Milwaukee Bucks,Utah Jazz
825,Sacramento Kings,Boston Celtics
826,Boston Celtics,Sacramento Kings
827,Oklahoma City Thunder,Golden State Warriors
828,Golden State Warriors,Oklahoma City Thunder
829,San Antonio Spurs,New York Knicks
830,New York Knicks,San Antonio Spurs
831,Portland Trail Blazers,Cleveland Cavaliers
832,Cleveland Cavaliers,Portland Trail Blazers
833,Cleveland Cavaliers,Dallas Mavericks
834,Dallas Mavericks,Cleveland Cavaliers
835,San Antonio Spurs,Washington Wizards
836,Washington Wizards,San Antonio Spurs
837,Washington Wizards,Minnesota Timberwolves
838,Minnesota Timberwolves,Washington Wizards
839,Dallas Mavericks,New York Knicks
840,New York Knicks,Dallas Mavericks
841,Detroit Pistons,Miami Heat
842,Miami Heat,Detroit Pistons
843,Charlotte Hornets,Philadelphia 76ers
844,Philadelphia 76ers,Charlotte Hornets
845,Houston Rockets,Chicago Bulls
846,Chicago Bulls,Houston Rockets
847,New Orleans Pelicans,Charlotte Hornets
848,Charlotte Hornets,New Orleans Pelicans
849,Sacramento Kings,Atlanta Hawks
850,Atlanta Hawks,Sacramento Kings
851,Los Angeles Lakers,Chicago Bulls
852,Chicago Bulls,Los Angeles Lakers
853,Minnesota Timberwolves,Philadelphia 76ers
854,Philadelphia 76ers,Minnesota Timberwolves
855,Houston Rockets,Washington Wizards
856,Washington Wizards,Houston Rockets
857,Charlotte Hornets,Los Angeles Clippers
858,Los Angeles Clippers,Charlotte Hornets
859,Charlotte Hornets,Los Angeles Lakers
860,Los Angeles Lakers,Charlotte Hornets
861,Cleveland Cavaliers,Sacramento Kings
862,Sacramento Kings,Cleveland Cavaliers
863,Cleveland Cavaliers,Phoenix Suns
864,Phoenix Suns,Cleveland Cavaliers
865,Atlanta Hawks,New Orleans Pelicans
866,New Orleans Pelicans,Atlanta Hawks
867,New York Knicks,Minnesota Timberwolves
868,Minnesota Timberwolves,New York Knicks
869,Chicago Bulls,Denver Nuggets
870,Denver Nuggets,Chicago Bulls
871,Miami Heat,Charlotte Hornets
872,Charlotte Hornets,Miami Heat
873,Chicago Bulls,Charlotte Hornets
874,Charlotte Hornets,Chicago Bulls
875,Charlotte Hornets,Atlanta Hawks
876,Atlanta Hawks,Charlotte Hornets
877,Philadelphia 76ers,Charlotte Hornets
878,Charlotte Hornets,Philadelphia 76ers
879,Charlotte Hornets,Boston Celtics
880,Boston Celtics,Charlotte Hornets
881,Charlotte Hornets,Washington Wizards
882,Washington Wizards,Charlotte Hornets
883,Charlotte Hornets,Cleveland Cavaliers
884,Cleveland Cavaliers,Charlotte Hornets
885,Orlando Magic,Charlotte Hornets
886,Charlotte Hornets,Orlando Magic
887,Brooklyn Nets,Charlotte Hornets
888,Charlotte Hornets,Brooklyn Nets
889,Houston Rockets,Charlotte Hornets
890,Charlotte Hornets,Houston Rockets
891,Portland Trail Blazers,Charlotte Hornets
892,Charlotte Hornets,Portland Trail Blazers
893,Charlotte Hornets,Milwaukee Bucks
894,Milwaukee Bucks,Charlotte Hornets
895,Minnesota Timberwolves,Charlotte Hornets
896,Charlotte Hornets,Minnesota Timberwolves
897,Denver Nuggets,Charlotte Hornets
898,Charlotte Hornets,Denver Nuggets
899,Charlotte Hornets,Memphis Grizzlies
900,Memphis Grizzlies,Charlotte Hornets
901,Indiana Pacers,Charlotte Hornets
902,Charlotte Hornets,Indiana Pacers
903,Charlotte Hornets,Oklahoma City Thunder
904,Oklahoma City Thunder,Charlotte Hornets
905,Charlotte Hornets,San Antonio Spurs
906,San Antonio Spurs,Charlotte Hornets
907,New Orleans Pelicans,Charlotte Hornets
908,Charlotte Hornets,New Orleans Pelicans
909,Detroit Pistons,Charlotte Hornets
910,Charlotte Hornets,Detroit Pistons
911,Dallas Mavericks,Charlotte Hornets
912,Charlotte Hornets,Dallas Mavericks
913,Charlotte Hornets,Golden State Warriors
914,Golden State Warriors,Charlotte Hornets
915,Charlotte Hornets,Phoenix Suns
916,Phoenix Suns,Charlotte Hornets
917,Charlotte Hornets,Los Angeles Lakers
918,Los Angeles Lakers,Charlotte Hornets
919,Charlotte Hornets,New York Knicks
920,New York Knicks,Charlotte Hornets
921,Los Angeles Clippers,Charlotte Hornets
922,Charlotte Hornets,Los Angeles Clippers
923,Toronto Raptors,Charlotte Hornets
924,Charlotte Hornets,Toronto Raptors
925,Charlotte Hornets,Sacramento Kings
926,Sacramento Kings,Charlotte Hornets
927,Charlotte Hornets,Utah Jazz
928,Utah Jazz,Charlotte Hornets
929,New Orleans Pelicans,Dallas Mavericks
930,Dallas Mavericks,New Orleans Pelicans
931,Los Angeles Clippers,New Orleans Pelicans
932,New Orleans Pelicans,Los Angeles Clippers
933,New Orleans Pelicans,Sacramento Kings
934,Sacramento Kings,New Orleans Pelicans
935,New Orleans Pelicans,Los Angeles Lakers
936,Los Angeles Lakers,New Orleans Pelicans
937,New Orleans Pelicans,Phoenix Suns
938,Phoenix Suns,New Orleans Pelicans
939,New Orleans Pelicans,Utah Jazz
940,Utah Jazz,New Orleans Pelicans
941,New Orleans Pelicans,Golden State Warriors
942,Golden State Warriors,New Orleans Pelicans
943,Cleveland Cavaliers,New Orleans Pelicans
944,New Orleans Pelicans,Cleveland Cavaliers
945,Miami Heat,New Orleans Pelicans
946,New Orleans Pelicans,Miami Heat
947,Denver Nuggets,New Orleans Pelicans
948,New Orleans Pelicans,Denver Nuggets
949,Memphis Grizzlies,New Orleans Pelicans
950,New Orleans Pelicans,Memphis Grizzlies
951,Boston Celtics,New Orleans Pelicans
952,New Orleans Pelicans,Boston Celtics
953,New Orleans Pelicans,Minnesota Timberwolves
954,Minnesota Timberwolves,New Orleans Pelicans
955,New Orleans Pelicans,Washington Wizards
956,Washington Wizards,New Orleans Pelicans
957,New Orleans Pelicans,Brooklyn Nets
958,Brooklyn Nets,New Orleans Pelicans
959,Portland Trail Blazers,New Orleans Pelicans
960,New Orleans Pelicans,Portland Trail Blazers
961,Orlando Magic,New Orleans Pelicans
962,New Orleans Pelicans,Orlando Magic
963,Detroit Pistons,New Orleans Pelicans
964,New Orleans Pelicans,Detroit Pistons
965,New Orleans Pelicans,Oklahoma City Thunder
966,Oklahoma City Thunder,New Orleans Pelicans
967,Chicago Bulls,New Orleans Pelicans
968,New Orleans Pelicans,Chicago Bulls
969,New Orleans Pelicans,Toronto Raptors
970,Toronto Raptors,New Orleans Pelicans
971,New Orleans Pelicans,Atlanta Hawks
972,Atlanta Hawks,New Orleans Pelicans
973,Houston Rockets,New Orleans Pelicans
974,New Orleans Pelicans,Houston Rockets
975,New Orleans Pelicans,San Antonio Spurs
976,San Antonio Spurs,New Orleans Pelicans
977,New Orleans Pelicans,Philadelphia 76ers
978,Philadelphia 76ers,New Orleans Pelicans
979,New Orleans Pelicans,New York Knicks
980,New York Knicks,New Orleans Pelicans
981,New Orleans Pelicans,Charlotte Hornets
982,Charlotte Hornets,New Orleans Pelicans
983,Indiana Pacers,New Orleans Pelicans
984,New Orleans Pelicans,Indiana Pacers
985,Milwaukee Bucks,New Orleans Pelicans
986,New Orleans Pelicans,Milwaukee Bucks
987,Brooklyn Nets,Toronto Raptors
988,Toronto Raptors,Brooklyn Nets
989,Philadelphia 76ers,Brooklyn Nets
990,Brooklyn Nets,Philadelphia 76ers
991,Brooklyn Nets,Milwaukee Bucks
992,Milwaukee Bucks,Brooklyn Nets
993,New York Knicks,Brooklyn Nets
994,Brooklyn Nets,New York Knicks
995,Miami Heat,Brooklyn Nets
996,Brooklyn Nets,Miami Heat
997,Boston Celtics,Brooklyn Nets
998,Brooklyn Nets,Boston Celtics
999,Cleveland Cavaliers,Brooklyn Nets
1000,Brooklyn Nets,Cleveland Cavaliers
1001,Washington Wizards,Brooklyn Nets
1002,Brooklyn Nets,Washington Wizards
1003,Brooklyn Nets,Portland Trail Blazers
1004,Portland Trail Blazers,Brooklyn Nets
1005,Brooklyn Nets,Los Angeles Lakers
1006,Los Angeles Lakers,Brooklyn Nets
1007,Brooklyn Nets,Sacramento Kings
1008,Sacramento Kings,Brooklyn Nets
1009,Brooklyn Nets,Golden State Warriors
1010,Golden State Warriors,Brooklyn Nets
1011,Indiana Pacers,Brooklyn Nets
1012,Brooklyn Nets,Indiana Pacers
1013,Utah Jazz,Brooklyn Nets
1014,Brooklyn Nets,Utah Jazz
1015,Charlotte Hornets,Brooklyn Nets
1016,Brooklyn Nets,Charlotte Hornets
1017,Brooklyn Nets,Atlanta Hawks
1018,Atlanta Hawks,Brooklyn Nets
1019,New Orleans Pelicans,Brooklyn Nets
1020,Brooklyn Nets,New Orleans Pelicans
1021,Brooklyn Nets,Orlando Magic
1022,Orlando Magic,Brooklyn Nets
1023,Houston Rockets,Brooklyn Nets
1024,Brooklyn Nets,Houston Rockets
1025,Los Angeles Clippers,Brooklyn Nets
1026,Brooklyn Nets,Los Angeles Clippers
1027,Brooklyn Nets,Dallas Mavericks
1028,Dallas Mavericks,Brooklyn Nets
1029,Brooklyn Nets,Chicago Bulls
1030,Chicago Bulls,Brooklyn Nets
1031,Memphis Grizzlies,Brooklyn Nets
1032,Brooklyn Nets,Memphis Grizzlies
1033,San Antonio Spurs,Brooklyn Nets
1034,Brooklyn Nets,San Antonio Spurs
1035,Brooklyn Nets,Detroit Pistons
1036,Detroit Pistons,Brooklyn Nets
1037,Minnesota Timberwolves,Brooklyn Nets
1038,Brooklyn Nets,Minnesota Timberwolves
1039,Oklahoma City Thunder,Brooklyn Nets
1040,Brooklyn Nets,Oklahoma City Thunder
1041,Brooklyn Nets,Phoenix Suns
1042,Phoenix Suns,Brooklyn Nets
1043,Brooklyn Nets,Denver Nuggets
1044,Denver Nuggets,Brooklyn Nets
